,q,(a),(b),(c),(d),a,,b,c,d
50,72. A racetrack procedure..., is a type of holding pattern.," could be, for instance, a 45/180 procedure turn.", is when an aircraft uses an active runway to taxi in the op- posite direction from which it will take o or has landed., None of the other answers is correct.,,,,,
51,73. If the misalignment of the nal approach track with respect to the runway centre line exceeds 90 degrees..., only a circling to approach is possible., only a precision approach is possible, a straight-in approach is possible if the nal descent gradi- ent does not exceed some specic limits., an instrumental approach cannot be designed in such cir- cumstances.,,,,,
52,74. The minimum decision height for an ILS CAT-I approach is: 5, 300ft., 200ft., 100ft., 0ft.,,,,,
53,"75. In the paper 1 of WP3 with title ""Enhanced Demand and Ca- pacity Balancing based on Alternative Trajectory Options and Trac Volume Hotspot Detection"", the advantages of the pro- posed enhanced demand and capacity balancing in comparison with the RBS method are:", It solves the demand and capacity imbalance considering the full network., The total amount of delay is signicantly reduced., It considers the AUs preferences., All options are correct.,,,,,
54,"76. In relation with paper 1 of WP3 with title ""European route choice determinants"", which of the following elements is not considered when dening the route charges:", Distance., Speed., Weight., Unit rate.,,,,,
55,"77. In relation with paper 4 of WP3 with title ""Identifying the Sources of Flight Ineciency from Historical Aircraft Trajecto- ries"", why the current distance-based PIs are not good enough?:", Because they are not considering the vertical prole., Because they are not considering the free route network., Because they do not consider the horizontal track of the trajectory., All options are correct,,,,,
56,"78. Regarding the gure 1a, the Delta aircraft is:"," at FL250 and descending, cleared to FL160 and with a planned exit level at FL190."," at FL250 and descending, cleared to FL190 and with a planned exit level at FL160."," at FL190 and descending, cleared to FL250 and with a planned exit level at FL160."," at FL190 and descending, cleared to FL160 and with a planned exit level at FL250.",,,,,
57,"79. Regarding the gure 1a, the heading of the Delta aircraft is:", approximately 0o, approximately 45o, approximately 90o, approximately 130o,,,,,
58,"80. Consider gure 1b, where the aircraft label is displayed in blue colour and all the airspace shown in the picture belongs to our sector. If we assume we are controlling anen-route sector of Barcelona UIR, then we can say that...", AEA979D is not yet in our sector but will enter in few minutes from below., AEA979D is not yet in our sector but will enter in few minutes from above., AEA979D is in our sector and climbing to FL260., AEA979D is in our sector and climbing to FL320.,,,,,
59,"81. Consider gure 1b, where the aircraft label is displayed in blue colour and all the airspace shown in the picture belongs to our sector. If we assume we are controlling anen-route sector of Barcelona UIR. What does FL260 in the aircraft label means?"," The estimated position of the aircraft, after a given period of time, based on the current aircraft heading and speed."," The estimated position of the aircraft, after a given period of time, based on the led ight plan.", The minimum separation distance between two aircraft., The black line gives a visual information to the controller regarding the vertical speed of the aircraft.,,,,,
60,86. What was the sector PON in the ITA ATC laboratory simula- tions?, an approach sector of Barcelona TMA., a departures sector of Barcelona TMA., an en-route sector of Barcelona FIR/UIR.," a sector of Barcelona CTR, for the West plan conguration.",,,,,
61,"87. Regarding the ITA ATC laboratory simulations, in how many sectors was the Barcelona UIR divided?", Two: CAT-W and CAT-E, Two: BCN and GRN," Four: CAT-N, CAT-S, CAT-W and CAT-E"," Three: PON, MED and LLE",,,,,
62,"88. In the ITA ATC laboratory simulations, CAT-W was a sector in Barcelona TMA. Which of the following initial contact messages issued by a pilot entering into the sector is correct?","Barcelona approach, Vueling one two three, good morning.","Barcelona TMA, Vueling one two three, good morning.","Catalunya West, Vueling one two three, good morning.","CAT Whiskey, Vueling one two three, good morning.",,,,,
63,"89. In the San Francisco airport (SFO), two parallel approaches are executed if visibility meteorological conditions (VMC) are met. Otherwise, only one instrumental approach is executed in one of the runways. Which of the following statements is correct?"," In VMC, runway capacity in SFO is increased at the ex- pense of reducing safety. 6"," In VMC, ight eciency of SFO arrivals is increased at the expense of reducing safety."," In VMC, ight eciency of SFO arrivals is increased at the expense of reducing capacity.", None of the other answers is correct.,,,,,
64,"90. Continuous descent operations are not possible in very congested airports. This is a illustrative example of a trade-o, or interde- pendency, between:"," ight eciency and environmental impact."," ight eciency and safety.", capacity and safety.," capacity and ight eciency.",,,,,
65,91. What separation procedure is mainly used in oceanic airspace?, Radar separation., Self separation., Procedural separation., TCAS-only separation.,,,,,
66,92. Which of the following statements is correct?," Tromboning procedures in terminal airspace are mainly de- signed to improve the eciency of the ights, if compared with continuous descent operations."," Tromboning procedures in terminal airspace are mainly de- signed to improve airspace and airport capacity, if com- pared with holding patterns.", Tromboning procedures in terminal airspace are one of the collision avoidance layers., All other answers are correct.,,,,,
67,"93. When talking about the Short Term Conict Alert (STCA) sys- tem, which of the following statementsis wrong?(a) The STCA function alerts the controller to potential air- craft to aircraft collisions prior to loss of separation."," A Resolution Advisory (RA) that includes a range of ver- tical speed at which the aircraft should be own to avoid the potential collision."," A Resolution Advisory (RA) that includes a range of in- dicated airspeeds at which the aircraft should be own to avoid the potential collision."," A Trac Advisory (TA) that includes a range of vertical speeds at which the aircraft should be own to avoid the potential collision."," A Trac Advisory (TA), which is intended to assist the aircraft crew in the visual acquisition of the conicting air- craft and/or raise their situational awareness. 7",,,,, Figure 1:ATC radar screenshots 8
